Frequency,	Imag,	phase,	LinMag,	Real
1064297352.00000000,	0.00463608,	14.01424867,	0.01914444,	0.01857461
1064299853.25062537,	0.03923304,	139.41240136,	0.06030194,	-0.04579403
1064302354.50125062,	-0.00059379,	-1.32825349,	0.02561605,	0.02560916
1064304855.75187600,	-0.09232806,	-97.49309899,	0.09312328,	-0.01214391
1064307357.00250125,	0.00282599,	1.73642166,	0.09326199,	0.09321917
1064309858.25312662,	-0.03610842,	-40.87660778,	0.05517520,	0.04171911
1064312359.50375187,	0.04505400,	63.44972226,	0.05036541,	0.02251248
1064314860.75437725,	0.06850374,	65.03972055,	0.07556111,	0.03188602
1064317362.00500250,	-0.04836927,	-55.13737460,	0.05894918,	0.03369598
1064319863.25562787,	-0.02990608,	-156.40340673,	0.07471019,	-0.06846341
1064322364.50625312,	0.07528392,	68.38818912,	0.08097652,	0.02982497
1064324865.75687849,	0.01551135,	35.04862525,	0.02701048,	0.02211253
1064327367.00750375,	0.06695966,	154.14341969,	0.15353495,	-0.13816434
1064329868.25812912,	0.03595243,	142.72554496,	0.05936332,	-0.04723798
1064332369.50875437,	-0.02477428,	-41.58910848,	0.03732280,	0.02791463
1064334870.75937974,	0.07290177,	108.28549425,	0.07677872,	-0.02408948
1064337372.01000500,	0.03942654,	25.52496600,	0.09149719,	0.08256685
1064339873.26063037,	-0.00778651,	-23.05820028,	0.01988048,	0.01829217
1064342374.51125562,	0.09764690,	109.86333608,	0.10382382,	-0.03527703
1064344875.76188099,	0.07406705,	73.56272260,	0.07722315,	0.02185149
1064347377.01250625,	0.01077976,	14.71329215,	0.04244296,	0.04105121
1064349878.26313162,	0.00338351,	2.28648934,	0.08480788,	0.08474036
1064352379.51375687,	0.02769440,	151.35949755,	0.05777943,	-0.05070980
1064354880.76438224,	-0.03392051,	-118.47569669,	0.03858903,	-0.01839871
1064357382.01500750,	0.03269485,	30.00256448,	0.06538464,	0.05662329
1064359883.26563287,	-0.03067776,	-16.67393587,	0.10691918,	0.10242356
1064362384.51625812,	0.03284824,	75.37970299,	0.03394747,	0.00856875
1064364885.76688349,	-0.01334959,	-26.49240230,	0.02992650,	0.02678403
1064367387.01750874,	0.00296331,	1.53314258,	0.11075660,	0.11071695
1064369888.26813412,	0.02513791,	99.85039134,	0.02551404,	-0.00436484
1064372389.51875937,	0.02652400,	83.62651965,	0.02668896,	0.00296271
1064374890.76938474,	0.04339789,	55.55889656,	0.05262213,	0.02976091
1064377392.02000999,	0.12492961,	65.00101911,	0.13784343,	0.05825293
1064379893.27063537,	0.02661237,	142.96837470,	0.04418783,	-0.03527528
1064382394.52126062,	-0.06394046,	-109.41431670,	0.06779533,	-0.02253495
1064384895.77188599,	0.07950153,	100.83551821,	0.08094470,	-0.01521681
1064387397.02251124,	0.01226120,	47.75933056,	0.01656186,	0.01113365
1064389898.27313662,	0.05861010,	69.51865652,	0.06256508,	0.02189167
1064392399.52376187,	0.00779147,	4.65692409,	0.09596687,	0.09565005
1064394900.77438724,	0.06272634,	101.78527397,	0.06407709,	-0.01308739
1064397402.02501249,	0.03085560,	150.06631222,	0.06183520,	-0.05358660
1064399903.27563786,	0.05406338,	44.79059415,	0.07673814,	0.05446001
1064402404.52626312,	-0.07143736,	-110.95655959,	0.07649753,	-0.02736011
1064404905.77688849,	0.02571567,	141.14283210,	0.04098891,	-0.03191857
1064407407.02751374,	0.01169701,	140.28412207,	0.01830572,	-0.01408117
1064409908.27813911,	-0.01293145,	-160.68292652,	0.03909197,	-0.03689119
1064412409.52876437,	0.05075166,	139.20435441,	0.07767758,	-0.05880540
1064414910.77938974,	-0.00469131,	-17.29745459,	0.01577800,	0.01506442
1064417412.03001499,	-0.00329872,	-5.28731974,	0.03579720,	0.03564489
1064419913.28064036,	-0.00039154,	-177.74773281,	0.00996304,	-0.00995534
1064422414.53126562,	0.08121876,	83.96599459,	0.08167125,	0.00858518
1064424915.78189099,	0.01779888,	158.32281409,	0.04818625,	-0.04477851
1064427417.03251624,	0.11947954,	78.69472232,	0.12184372,	0.02388581
1064429918.28314161,	0.09399379,	63.66743295,	0.10487634,	0.04652112
